numero,tipo,cuenta,caducidad
374288747248721,americanexpress,GR43 3661 760G GRO9 WF1P GYCC VF6,09/01/2026
374288649803128,americanexpress,DE17 9387 5690 6518 9518 54,06/04/2025
374288287942063,americanexpress,CR92 6423 0946 4173 8675 2,12/12/2023
374288917205352,americanexpress,PK75 BWPI XQ6F AEJ2 8XUZ DCUA,11/12/2025
5100179361482698,mastercard,PL36 2040 1485 5199 7263 5465 5111,31/08/2023
374288202259346,americanexpress,NO31 1650 2776 322,19/05/2024
5100139636405924,mastercard,FR55 8737 2792 57BJ NS4Z JCVN K88,05/11/2024
337941549885456,americanexpress,AD82 8117 0206 TQSK IHLF PYQU,14/03/2025
5100132447563494,mastercard,GL17 2563 8218 8160 05,25/09/2023
374283539387316,americanexpress,KW48 YSQF DVVS TV7E 0LZJ TG05 K8KO N9,12/01/2026
337941612016856,americanexpress,GE67 SO22 0107 8026 5897 69,06/07/2025
5100173379127395,mastercard,FO51 0063 4858 0418 32,27/06/2025
5100170189343089,mastercard,GE78 FR99 5225 6735 8733 84,24/10/2023
374622775502825,americanexpress,SA41 22C2 YRQS F3P6 DHBT CKF9,27/04/2024
5100137756372080,mastercard,FR16 7015 3812 69SK RC7R O7PP A63,01/10/2025
374283716385570,americanexpress,MD61 POPQ 9JXU XQOB GL9X RS5N,07/09/2025
5100146921467576,mastercard,FI85 7572 2418 7195 71,01/02/2024
374622701830670,americanexpress,GB17 DWPQ 9390 6562 6277 76,04/11/2024
5100133786103421,mastercard,IE49 PCHR 2454 3326 7192 89,27/09/2023
374622085421567,americanexpress,ME87 6671 9113 5842 6609 51,20/06/2023
374622055881220,americanexpress,VG39 NQQJ 2811 4389 0857 4874,06/11/2025
5100148705040447,mastercard,RO07 IQSL OBQZ XSVL EQSI MNHL,11/09/2024
337941149166505,americanexpress,ES37 4974 5060 2195 5810 6968,25/06/2023
374622667948383,americanexpress,RO31 WNJM 4AH7 LYMK FKMV 8TJN,18/01/2024
374288339980228,americanexpress,FR94 8034 4649 84QY FM2R RQ0W U89,01/04/2024
337941307817469,americanexpress,KZ66 7202 GSHL WR1M IHIB,10/09/2024
374288569782575,americanexpress,ES07 6771 1847 2540 3310 4157,04/05/2023
337941567372387,americanexpress,FR84 3282 3337 586B OVCB NQE9 N48,04/09/2024
5100139783799301,mastercard,IS23 5517 9824 6393 8062 2663 63,11/07/2023
374288213512964,americanexpress,EE35 8005 1867 8356 3869,23/10/2025
374622584859986,americanexpress,FR43 6133 2260 35TJ YTQL PBIV L61,24/11/2023
5100140924047220,mastercard,DK59 4729 8214 5399 16,23/06/2024
5100138894581368,mastercard,MK45 866W ZLOL Z2KF U93,29/07/2024
374622758524218,americanexpress,SM58 K421 3728 459J 6CGB NQB4 SFD,07/10/2025
5100145124043572,mastercard,IS60 9684 1190 8759 9818 9979 73,07/08/2025
5100133479245869,mastercard,AZ95 LPAA YVL0 GXNT TI6Q NK8V 4BYF,29/01/2024
374283744642026,americanexpress,MK66 904H YJJK KRNW K59,15/01/2024
